MANAGEMENT POLICY: Best	POOL SIZE 1024 KB
Failed Req 217 is size 128224
Failed Req 302 is size 118560
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 592 is size 58208
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 492

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
481	free	466		YES	615456		5		240128
482	free	476		YES	726720		5		351392
483	free	461		YES	841504		4		568544
484	alloc	115872		YES	725632		4		568544
485	alloc	97376		YES	628256		4		568544
486	alloc	71264		YES	556992		4		497280
487	alloc	30880		YES	526112		4		466400
488	alloc	34016		YES	492096		4		432384
489	alloc	121504		YES	370592		4		310880
490	alloc	34784		YES	335808		4		276096
491	free	465		YES	383008		4		323296
492	alloc	41248		YES	341760		4		282048
493	alloc	63904		YES	277856		4		218144
494	free	489		YES	399360		5		218144
495	alloc	127520		YES	271840		5		121504
496	free	492		YES	313088		6		121504
497	free	486		YES	384352		7		121504
498	free	478		YES	438976		6		127424
499	free	484		YES	554848		5		235584

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
500	alloc	33760		YES	521088		5		235584
501	free	475		YES	626336		4		369920
502	alloc	78112		YES	548224		4		369920
503	free	495		YES	675744		4		497440
504	alloc	40928		YES	634816		4		497440
505	alloc	32800		YES	602016		4		497440
506	alloc	17568		YES	584448		4		497440
507	free	493		YES	648352		3		568832
508	free	485		YES	745728		4		568832
509	free	487		YES	776608		4		568832
510	free	488		YES	810624		4		568832
511	alloc	32672		YES	777952		4		568832
512	alloc	93280		YES	684672		4		568832
513	free	500		YES	718432		4		602592
514	alloc	129056		YES	589376		4		473536
515	free	505		YES	622176		4		473536
516	free	506		YES	639744		4		473536
517	free	490		YES	674528		4		473536
518	alloc	123872		YES	550656		4		349664
519	alloc	40160		YES	510496		4		349664

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
520	alloc	108320		YES	402176		4		349664
521	alloc	14752		YES	387424		4		349664
522	alloc	92512		YES	294912		4		257152
523	free	518		YES	418784		5		257152
524	free	514		YES	547840		4		275424
525	free	504		YES	588768		5		275424
526	free	520		YES	697088		5		275424
527	alloc	71904		YES	625184		5		275424
528	alloc	32608		YES	592576		5		275424
529	free	502		YES	670688		5		275424
530	alloc	19360		YES	651328		5		275424
531	alloc	76256		YES	575072		5		275424
532	alloc	83040		YES	492032		5		275424
533	free	511		YES	524704		6		275424
534	free	522		YES	617216		6		367936
535	alloc	117408		YES	499808		6		367936
536	alloc	103520		YES	396288		6		264416
537	alloc	55584		YES	340704		6		264416
538	alloc	35168		YES	305536		6		229248
539	free	521		YES	320288		6		229248

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
540	free	538		YES	355456		6		264416
541	free	512		YES	448736		6		264416
542	alloc	57888		YES	390848		6		264416
543	free	519		YES	431008		6		264416
544	alloc	105312		YES	325696		6		159104
545	free	531		YES	401952		5		185984
546	alloc	23584		YES	378368		5		185984
547	alloc	95584		YES	282784		5		185984
548	free	546		YES	306368		5		185984
549	alloc	33632		YES	272736		5		185984
550	free	527		YES	344640		5		185984
551	alloc	117344		YES	227296		5		104576
552	free	528		YES	259904		4		124320
553	free	530		YES	279264		4		124320
554	alloc	49888		YES	229376		4		124320
555	free	554		YES	279264		4		124320
556	alloc	126048		NO	279264		4		124320
557	free	547		YES	374848		5		124320
558	free	556		NO	374848		5		124320
559	free	535		YES	492256		6		124320

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
560	free	532		YES	575296		5		230336
561	alloc	76064		YES	499232		5		230336
562	alloc	36832		YES	462400		5		230336
563	free	542		YES	520288		5		230336
564	free	544		YES	625600		6		230336
565	free	537		YES	681184		5		287040
566	free	536		YES	784704		4		333152
567	alloc	71008		YES	713696		4		333152
568	alloc	8672		YES	705024		4		333152
569	free	551		YES	822368		3		524480
570	alloc	49760		YES	772608		3		524480
571	alloc	94816		YES	677792		3		524480
572	free	571		YES	772608		3		524480
573	alloc	127328		YES	645280		3		524480
574	free	562		YES	682112		4		524480
575	free	561		YES	758176		4		600544
576	alloc	72992		YES	685184		4		600544
577	free	549		YES	718816		4		600544
578	free	573		YES	846144		5		600544
579	alloc	93408		YES	752736		5		600544

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
580	alloc	81568		YES	671168		5		518976
581	alloc	100960		YES	570208		5		418016
582	alloc	52576		YES	517632		5		365440
583	alloc	69664		YES	447968		5		295776
584	alloc	75040		YES	372928		5		220736
585	free	584		YES	447968		5		295776
586	alloc	82656		YES	365312		5		213120
587	alloc	72864		YES	292448		5		140256
588	free	567		YES	363456		5		140256
589	alloc	62432		YES	301024		5		140256
590	alloc	53280		YES	247744		5		86976
591	alloc	48992		YES	198752		5		45408
592	alloc	58208		NO	198752		5		45408
593	free	579		YES	292160		5		127328
594	free	570		YES	341920		4		221568
595	free	589		YES	404352		4		221568
596	free	568		YES	413024		3		268224
597	free	591		YES	462016		3		317216
598	free	587		YES	534880		4		317216
599	alloc	55456		YES	479424		4		317216

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
600	alloc	35232		YES	444192		4		317216
601	free	576		YES	517184		4		390208
602	free	600		YES	552416		3		427168
603	alloc	1824		YES	550592		3		427168
604	alloc	65568		YES	485024		3		427168
605	alloc	57440		YES	427584		3		369728
606	free	603		YES	429408		3		369728
607	free	580		YES	510976		3		369728
608	free	582		YES	563552		4		369728
609	alloc	24288		YES	539264		4		369728
610	alloc	91040		YES	448224		4		369728
611	free	581		YES	549184		4		369728
612	alloc	102944		YES	446240		4		369728
613	free	583		YES	515904		4		369728
614	alloc	78304		YES	437600		4		369728
615	free	586		YES	520256		4		369728
616	free	599		YES	575712		3		369728
617	alloc	98528		YES	477184		3		369728
618	alloc	54304		YES	422880		3		369728
619	free	590		YES	476160		3		369728

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
620	free	592		NO	476160		3		369728
621	alloc	126240		YES	349920		3		243488
622	free	609		YES	374208		3		243488
623	alloc	97568		YES	276640		3		145920
624	free	605		YES	334080		3		145920
625	free	618		YES	388384		3		187360
626	alloc	78560		YES	309824		3		187360
627	alloc	57952		YES	251872		3		187360
628	free	604		YES	317440		4		187360
629	alloc	81184		YES	236256		4		106176
630	free	610		YES	327296		4		156608
631	alloc	76000		YES	251296		4		156608
632	alloc	108896		YES	142400		4		55104
633	alloc	15136		YES	127264		4		55104
634	alloc	65696		NO	127264		4		55104
635	alloc	100448		NO	127264		4		55104
